JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
SIT	Journal de situation	1	20250101	7082001	COMMISSIONS PARTENAIRES			138	20250101	Extourne - ACCOMPAGNEMENT 2EME SEMESTRE (REPORT DEMANDE PAR LE CLIENT)	0,0	15000,0				-15000,00	EUR
SIT	Journal de situation	1	20250101	487	Produits constatés d'avance			138	20250101	Extourne - ACCOMPAGNEMENT 2EME SEMESTRE (REPORT DEMANDE PAR LE CLIENT)	15000,0	0,0	A	20250101		15000,00	EUR
SIT	Journal de situation	2	20250101	6135300009	ABONNEMENT SALESFORCE (INTRACOM) (TVA 20%)			139	20250101	Extourne - SALESFORCE.ORG - 04.03.24-03.03.25	110,07	0,0				110,07	EUR
SIT	Journal de situation	2	20250101	486	Charges constatées d'avance			139	20250101	Extourne - SALESFORCE.ORG - 04.03.24-03.03.25	0,0	110,07	B	20250101		-110,07	EUR
SIT	Journal de situation	3	20250101	486	Charges constatées d'avance			140	20250101	Extourne - OVH.COM 01/04/24-31/03/25	0,0	11,81	C	20250101		-11,81	EUR
SIT	Journal de situation	3	20250101	61352	ABONNMENT NOM DE DOMAINE + EXCHANGE			140	20250101	Extourne - OVH.COM 01/04/24-31/03/25	11,81	0,0				11,81	EUR
SIT	Journal de situation	4	20250101	486	Charges constatées d'avance			141	20250101	Extourne - OVH.COM 01/03/24-28/02/25	0,0	7,74	D	20250101		-7,74	EUR
SIT	Journal de situation	4	20250101	61352	ABONNMENT NOM DE DOMAINE + EXCHANGE			141	20250101	Extourne - OVH.COM 01/03/24-28/02/25	7,74	0,0				7,74	EUR
SIT	Journal de situation	5	20250101	6135300009	ABONNEMENT SALESFORCE (INTRACOM) (TVA 20%)			142	20250101	Extourne - SALESFORCE.ORG 25/10/24-30/06/25	163,92	0,0				163,92	EUR
SIT	Journal de situation	5	20250101	486	Charges constatées d'avance			142	20250101	Extourne - SALESFORCE.ORG 25/10/24-30/06/25	0,0	163,92	E	20250101		-163,92	EUR
SIT	Journal de situation	6	20250101	487	Produits constatés d'avance			143	20250101	Extourne - DIDPLP - REPORT 2025	25000,0	0,0	F	20250101		25000,00	EUR
SIT	Journal de situation	6	20250101	740	Subventions			143	20250101	Extourne - DIDPLP - REPORT 2025	0,0	25000,0				-25000,00	EUR
SIT	Journal de situation	7	20250101	44587	Taxes sur le chiffre d'affaires sur factures à établir			144	20250101	Extourne - FAE FRAIS DE DOSSIERS 2025 POUR 2024	183,34	0,0	G	20250101		183,34	EUR
SIT	Journal de situation	7	20250101	7061	ACCOMPAGNEMENT SOUSCRIPTION MOBILIZE			144	20250101	Extourne - FAE FRAIS DE DOSSIERS 2025 POUR 2024	916,68	0,0				916,68	EUR
SIT	Journal de situation	7	20250101	4181	CLIENTS - FACTURES À ÉTABLIR			144	20250101	Extourne - FAE FRAIS DE DOSSIERS 2025 POUR 2024	0,0	1100,02	H	20250101		-1100,02	EUR
SIT	Journal de situation	8	20250101	486	Charges constatées d'avance			145	20250101	Extourne - OVH.COM 01/02/24-31/01/25	0,0	8,11	I	20250101		-8,11	EUR
SIT	Journal de situation	8	20250101	61352	ABONNMENT NOM DE DOMAINE + EXCHANGE			145	20250101	Extourne - OVH.COM 01/02/24-31/01/25	8,11	0,0				8,11	EUR
